row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
379,219.0264369,0.87659925,1154497.6,157604.56,64,1154497.6,157604.56,996893.04,S
5979,219.1239918,17.336178,319141.94,0,65,319141.94,0,319141.94,S
5277,219.174262,14.509016,56136.57,57664.797,66,56136.57,57664.797,1528.226999999999,P
925,219.9725661,1.7585576,0,1587060,67,3805282,1587060,2218222,S
1364,219.9725945,2.28993,3805282,0,67,3805282,1587060,2218222,S
87,223.0636527,0.065587126,2254509,2354781.5,68,2254509,4191488.1,1936979.1,P
1028,223.0636863,1.9193006,0,1836706.6,68,2254509,4191488.1,1936979.1,P
940,223.1076239,1.7788718,248279.05,0,69,297218.18299999996,0,297218.18299999996,S
1524,223.1078735,2.4836903,48939.133,0,69,297218.18299999996,0,297218.18299999996,S
4970,223.111528,12.953545,24049.127,0,70,24049.127,0,24049.127,S
2898,223.1551943,5.138044,965481.7,0,71,965481.7,0,965481.7,S
1339,224.0774532,2.2587554,83175.83,0,72,83175.83,0,83175.83,S
1611,224.0917065,2.5809596,79669.84,0,73,79669.84,0,79669.84,S
2429,224.1281509,4.168787,65309.457,0,74,65309.457,0,65309.457,S
6096,226.0119323,17.432316,1624298.4,1013858.44,75,1624298.4,1013858.44,610439.96,S
1042,226.1186138,1.9298763,70563.86,23661.945,76,70563.86,23661.945,46901.915,S
3738,226.1800825,8.861303,48503.43,19668.395,77,48503.43,19668.395,28835.035,S
2891,227.1277549,5.098045,126426.53,16199.292,78,146713.221,16199.292,130513.92899999999,S
3548,227.1280026,8.161933,20286.691,0,78,146713.221,16199.292,130513.92899999999,S
5653,227.1388678,16.465277,372918.25,0,79,1066429.05,0,1066429.05,S
5984,227.1389029,17.336178,693510.8,0,79,1066429.05,0,1066429.05,S
1134,227.1502181,2.045794,82510.305,29576.469,80,82510.305,29576.469,52933.835999999996,S
1633,228.0866917,2.6105146,161207.33,8651.526,81,161207.33,8651.526,152555.80399999997,S
4131,228.1957046,10.014315,376055.8,68770.53,82,376055.8,68770.53,307285.27,S
1457,229.1183237,2.3875234,38931.824,0,83,38931.824,0,38931.824,S
818,230.102243,1.5940785,510280.44,69593.05,84,1191978.2,175605.832,1016372.368,S
1168,230.102297,2.0901842,170862.14,14756.272,84,1191978.2,175605.832,1016372.368,S
965,230.1022974,1.8351455,510835.62,91256.51,84,1191978.2,175605.832,1016372.368,S
4634,230.2478064,11.30299,150343.33,98349.48,85,150343.33,98349.48,51993.84999999999,S
2581,231.1126874,4.450156,160517.5,0,86,160517.5,0,160517.5,S
1385,232.0816077,2.3022604,249275.12,26149.598,87,249275.12,26149.598,223125.522,S
1819,234.0972237,2.84328,65962.45,0,88,114478.852,0,114478.852,S
2150,234.0972282,3.424401,48516.402,0,88,114478.852,0,114478.852,S
459,234.9563809,0.9614573,0,708309.25,89,0,708309.25,708309.25,P
2214,235.1442333,3.589008,56241.992,0,90,56241.992,0,56241.992,S
3920,235.1692289,9.375293,52271.89,0,91,52271.89,0,52271.89,S
6401,235.1915433,17.911104,0,5730412,92,7924786,5730412,2194374,S
6340,235.1915719,17.779724,7924786,0,92,7924786,5730412,2194374,S
3936,235.2054822,9.434844,51752.5,0,93,51752.5,0,51752.5,S
4754,237.1847592,11.828596,90289.33,9027.652,94,90289.33,9027.652,81261.678,S
1583,240.1230051,2.5513365,188960.02,0,95,188960.02,0,188960.02,S
5988,240.1704696,17.336178,790768.5,0,96,790768.5,0,790768.5,S
2551,244.096678,4.4205346,65173.363,0,97,65173.363,0,65173.363,S
3739,244.1907057,8.861303,77898.25,30640.03,98,77898.25,30640.03,47258.22,S
1940,245.1609093,3.00457,36701.836,0,99,36701.836,0,36701.836,S
2681,248.1125968,4.6992426,89403.69,10056.019,100,383477.77,43875.298,339602.472,S
2632,248.1126356,4.5730076,123704.83,14991.306,100,383477.77,43875.298,339602.472,S
2372,248.1127625,4.000197,170369.25,18827.973,100,383477.77,43875.298,339602.472,S
3863,249.1848139,9.189404,75461.21,7581.548,101,75461.21,7581.548,67879.66200000001,S
762,251.1024324,1.4705919,67551.1,0,102,141223.76,0,141223.76,S
2619,251.1024604,4.5421553,73672.66,0,102,141223.76,0,141223.76,S
3367,251.1852537,7.0512853,127243.26,30913.832,103,127243.26,30913.832,96329.428,S
2799,252.0863651,4.9181933,59514.89,0,104,97119.574,0,97119.574,S
2443,252.0866972,4.2070594,37604.684,0,104,97119.574,0,97119.574,S
2316,253.16578,3.843577,37565.38,0,105,37565.38,0,37565.38,S
3931,253.2159971,9.42738,214620.47,15952.713,106,214620.47,15952.713,198667.757,S
1276,254.1610491,2.1962392,40343.47,0,107,40343.47,0,40343.47,S
5729,256.2633014,16.933187,47963.043,0,108,47963.043,0,47963.043,S
723,256.959756,1.4019535,0,3312264.8,109,0,3312264.8,3312264.8,P
